PET.IVE3740008.M,,PET.IVE3740008.A,,PET.IVE2210008.M,,PET.IVE2210008.A,,PET.IUK4990008.M,,PET.IUK4990008.A,,PET.ISA6990008.M,,PET.ISA6990008.A,,PET.ISA4990008.M,,PET.ISA4990008.A,,PET.INI1500008.M,,PET.INI1500008.A,,PET.INI1410008.M,,PET.INI1410008.A,,PET.IMX2830008.M,,PET.IMX2830008.A,,PET.IMX2810008.M,,PET.IMX2810008.A,,PET.IGB0650008.M,,PET.IGB0650008.A,,PET.IEC0500008.M,,PET.IEC0500008.A,,PET.ICA2440008.M,,PET.ICA2440008.A,,PET.ICA2410008.M,,PET.ICA2410008.A,,PET.IAO0300008.M,,PET.IAO0300008.A,,PET.I61339000008.M,,PET.I61339000008.A,,PET.I47799000008.M,,PET.I47799000008.A,,PET.I42144000008.M,,PET.I42144000008.A,,PET.I36100000008.M,,PET.I36100000008.A,,PET.I25499000008.M,,PET.I25499000008.A,,PET.I19263000008.M,,PET.I19263000008.A,,PET.I17628000008.M,,PET.I17628000008.A,,PET.I11025000008.M,,PET.I11025000008.A,
Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel,Units,Dollars per Barrel
M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,,M,,A,
1996-01-01,1996-01-01 - 2008-12-01,1978-01-01,1978-01-01 - 2008-01-01,1996-01-01,1996-01-01 - 2010-03-01,1978-01-01,1978-01-01 - 2008-01-01,1983-01-01,1983-01-01 - 2008-12-01,1978-01-01,1978-01-01 - 2008-01-01,1996-01-01,1996-01-01 - 2018-05-01,1978-01-01,1978-01-01 - 2017-01-01,1983-01-01,1983-01-01 - 2018-05-01,1978-01-01,1978-01-01 - 2017-01-01,1983-01-01,1983-01-01 - 2017-05-01,1978-01-01,1978-01-01 - 2017-01-01,1996-01-01,1996-01-01 - 2010-02-01,1978-01-01,1978-01-01 - 2008-01-01,1996-01-01,1996-01-01 - 2010-03-01,1978-01-01,1978-01-01 - 2008-01-01,1983-01-01,1983-01-01 - 2018-05-01,1978-01-01,1978-01-01 - 2017-01-01,1996-01-01,1996-01-01 - 2008-12-01,1978-01-01,1978-01-01 - 2008-01-01,1983-01-01,1983-01-01 - 2018-05-01,1978-01-01,1978-01-01 - 2017-01-01,1996-01-01,1996-01-01 - 2018-05-01,1978-01-01,1978-01-01 - 2017-01-01,1983-01-01,1983-01-01 - 2018-05-01,1978-01-01,1978-01-01 - 2017-01-01,1983-01-01,1983-01-01 - 2010-03-01,1978-01-01,1978-01-01 - 2008-01-01,2009-01-01,2009-01-01 - 2018-05-01,2009-01-01,2009-01-01 - 2017-01-01,2009-01-01,2009-01-01 - 2018-05-01,2009-01-01,2009-01-01 - 2017-01-01,2009-01-01,2009-01-01 - 2018-04-01,2009-01-01,2009-01-01 - 2017-01-01,2009-01-01,2009-01-01 - 2018-05-01,2009-01-01,2009-01-01 - 2017-01-01,2009-01-01,2009-01-01 - 2018-05-01,2009-01-01,2009-01-01 - 2017-01-01,2009-01-01,2009-01-01 - 2018-05-01,2009-01-01,2009-01-01 - 2017-01-01,2009-01-01,2009-01-01 - 2018-03-01,2009-01-01,2009-01-01 - 2017-01-01,2009-01-01,2009-01-01 - 2018-04-01,2009-01-01,2009-01-01 - 2017-01-01
"U.S. Landed Costs of Venezuelan Furrial Crude Oil, Monthly",,"U.S. Landed Costs of Venezuelan Furrial Crude Oil, Annual",,"U.S. Landed Costs of Venezuelan Leona Crude Oil, Monthly",,"U.S. Landed Costs of Venezuelan Leona Crude Oil, Annual",,"U.S. Landed Costs of United Kingdom Brent Crude Oil, Monthly",,"U.S. Landed Costs of United Kingdom Brent Crude Oil, Annual",,"U.S. Landed Costs of Saudi Arabian Medium Crude Oil, Monthly",,"U.S. Landed Costs of Saudi Arabian Medium Crude Oil, Annual",,"U.S. Landed Costs of Saudi Arabian Light Crude Oil, Monthly",,"U.S. Landed Costs of Saudi Arabian Light Crude Oil, Annual",,"U.S. Landed Costs of Nigerian Bonny Light Crude Oil, Monthly",,"U.S. Landed Costs of Nigerian Bonny Light Crude Oil, Annual",,"U.S. Landed Costs of Nigerian Forcados Blend Crude Oil, Monthly",,"U.S. Landed Costs of Nigerian Forcados Blend Crude Oil, Annual",,"U.S. Landed Costs of Mexican Olmeca Crude Oil, Monthly",,"U.S. Landed Costs of Mexican Olmeca Crude Oil, Annual",,"U.S. Landed Costs of Mexican Mayan Crude Oil, Monthly",,"U.S. Landed Costs of Mexican Mayan Crude Oil, Annual",,"U.S. Landed Costs of Gabon Rabi-Kouanga Crude Oil, Monthly",,"U.S. Landed Costs of Gabon Rabi-Kouanga Crude Oil, Annual",,"U.S. Landed Costs of Ecuadorian Oriente Crude Oil, Monthly",,"U.S. Landed Costs of Ecuadorian Oriente Crude Oil, Annual",,"U.S. Landed Costs of Canadian Bow River Heavy Crude Oil, Monthly",,"U.S. Landed Costs of Canadian Bow River Heavy Crude Oil, Annual",,"U.S. Landed Costs of Canadian LLoydminster Crude Oil, Monthly",,"U.S. Landed Costs of Canadian LLoydminster Crude Oil, Annual",,"U.S. Landed Costs of Angolan Cabinda Crude Oil, Monthly",,"U.S. Landed Costs of Angolan Cabinda Crude Oil, Annual",,"U.S. Landed Costs of Venezuelan Merey Crude Oil, Monthly",,"U.S. Landed Costs of Venezuelan Merey Crude Oil, Annual",,"U.S. Landed Costs of Saudi Arabian Berri Crude Oil, Monthly",,"U.S. Landed Costs of Saudi Arabian Berri Crude Oil, Annual",,"U.S. Landed Costs of Nigerian Qua Iboe Crude Oil, Monthly",,"U.S. Landed Costs of Nigerian Qua Iboe Crude Oil, Annual",,"U.S. Landed Costs of Iraqi Basrah Light Crude Oil, Monthly",,"U.S. Landed Costs of Iraqi Basrah Light Crude Oil, Annual",,"U.S. Landed Costs of Ecuadorian Napo Crude Oil, Monthly",,"U.S. Landed Costs of Ecuadorian Napo Crude Oil, Annual",,"U.S. Landed Costs of Canadian Light Sour Blend Crude Oil, Monthly",,"U.S. Landed Costs of Canadian Light Sour Blend Crude Oil, Annual",,"U.S. Landed Costs of Brazilian Marlim Crude Oil, Monthly",,"U.S. Landed Costs of Brazilian Marlim Crude Oil, Annual",,"U.S. Landed Costs of Algerian Saharan Blend Crude Oil, Monthly",,"U.S. Landed Costs of Algerian Saharan Blend Crude Oil, Annual",
"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",,"EIA, U.S. Energy Information Administration",
date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value,date,value
2008-12-01,Null,2008-01-01,Null,2010-03-01,Null,2008-01-01,Null,2008-12-01,Null,2008-01-01,Null,2018-05-01,70.39,2017-01-01,51.6,2018-05-01,71.02,2017-01-01,53.27,2017-05-01,Null,2017-01-01,Null,2010-02-01,Null,2008-01-01,111.07,2010-03-01,Null,2008-01-01,101.14,2018-05-01,63.66,2017-01-01,47.87,2008-12-01,Null,2008-01-01,95.46,2018-05-01,73.52,2017-01-01,51.93,2018-05-01,53.41,2017-01-01,43.02,2018-05-01,Null,2017-01-01,42.28,2010-03-01,Null,2008-01-01,Null,2018-05-01,Null,2017-01-01,47.38,2018-05-01,Null,2017-01-01,52.68,2018-04-01,Null,2017-01-01,Null,2018-05-01,68.7,2017-01-01,50.73,2018-05-01,Null,2017-01-01,49.18,2018-05-01,65.1,2017-01-01,50.08,2018-03-01,Null,2017-01-01,50.4,2018-04-01,Null,2017-01-01,54.96
2008-11-01,Null,2007-01-01,Null,2010-02-01,Null,2007-01-01,Null,2008-11-01,Null,2007-01-01,61.48,2018-04-01,68.94,2016-01-01,41.62,2018-04-01,67.56,2016-01-01,41.25,2016-01-01,Null,2016-01-01,Null,2010-01-01,Null,2007-01-01,90.39,2010-02-01,Null,2007-01-01,72.77,2018-04-01,58.58,2016-01-01,36.79,2008-11-01,Null,2007-01-01,72.93,2018-04-01,68.05,2016-01-01,40.68,2018-04-01,43.61,2016-01-01,33.43,2018-04-01,Null,2016-01-01,Null,2010-02-01,Null,2007-01-01,69.17,2018-04-01,Null,2016-01-01,38.97,2018-04-01,69.08,2016-01-01,45.62,2018-02-01,Null,2016-01-01,Null,2018-04-01,64.77,2016-01-01,39.9,2018-04-01,63.5,2016-01-01,37.46,2018-04-01,63,2016-01-01,40.04,2018-02-01,Null,2016-01-01,Null,2018-03-01,Null,2016-01-01,49.82
2008-10-01,Null,2006-01-01,Null,2010-01-01,Null,2006-01-01,Null,2008-10-01,Null,2006-01-01,64.6,2018-03-01,66.64,2015-01-01,48.66,2018-03-01,66.73,2015-01-01,50,2015-12-01,Null,2015-01-01,59.92,2008-12-01,Null,2006-01-01,66.05,2010-01-01,Null,2006-01-01,65.03,2018-03-01,57.11,2015-01-01,44.08,2008-10-01,Null,2006-01-01,66.85,2018-03-01,63.11,2015-01-01,49.65,2018-03-01,39.89,2015-01-01,38.9,2018-02-01,Null,2015-01-01,38.51,2008-12-01,Null,2006-01-01,61.24,2018-03-01,Null,2015-01-01,45.77,2018-03-01,Null,2015-01-01,52.83,2018-01-01,Null,2015-01-01,Null,2018-03-01,61.65,2015-01-01,49.5,2018-03-01,60.38,2015-01-01,41.84,2018-03-01,59.46,2015-01-01,47.18,2017-08-01,Null,2015-01-01,47.77,2018-02-01,Null,2015-01-01,Null
2008-09-01,Null,2005-01-01,Null,2008-12-01,Null,2005-01-01,51.55,2008-09-01,Null,2005-01-01,55.4,2018-02-01,64.58,2014-01-01,94.47,2018-02-01,65.47,2014-01-01,96.83,2015-06-01,Null,2014-01-01,Null,2008-11-01,61.31,2005-01-01,56.73,2008-12-01,Null,2005-01-01,55.2,2018-02-01,57.42,2014-01-01,86.49,2008-09-01,Null,2005-01-01,55.67,2018-02-01,65.05,2014-01-01,91.65,2018-02-01,38.64,2014-01-01,76.9,2018-01-01,Null,2014-01-01,81.87,2008-11-01,Null,2005-01-01,53.54,2018-02-01,Null,2014-01-01,91.73,2018-02-01,66.71,2014-01-01,96.68,2017-12-01,Null,2014-01-01,Null,2018-02-01,60.97,2014-01-01,96.95,2018-02-01,Null,2014-01-01,93.11,2018-02-01,60.89,2014-01-01,85.1,2017-07-01,Null,2014-01-01,93.08,2018-01-01,70.13,2013-01-01,113.45
