Date,value,Model Code,Model check code
1996-01-01,17.61,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-02-01,17.96,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-03-01,20.45,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-04-01,22.03,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-05-01,20.57,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-06-01,19.25,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-07-01,19.98,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-08-01,20.98,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-09-01,22.85,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-10-01,23.42,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-11-01,22.64,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1996-12-01,24.28,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-01-01,23.89,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-02-01,20.11,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-03-01,18.18,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-04-01,17.59,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-05-01,17.98,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-06-01,17.15,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-07-01,17.26,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-08-01,17.56,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-09-01,18.36,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-10-01,19.21,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-11-01,17.95,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1997-12-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1998-01-01,14.62,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1998-02-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1998-03-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1998-04-01,12.8,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1998-05-01,11.97,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1998-06-01,11.29,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1998-07-01,11.54,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
1998-08-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE3740008_M/PRICE/ALL,IVE3740008.M
