MODEL_CODE,RANGE_URI,DEFAULT_ATTRIBUTE
US.OIL.EIA.MAPRSAP1_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.MD1RS_R10_1_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.MDIRS2B1_A,range://MA:1/END/01-1993/01-2017,VOL
US.OIL.EIA.MBCRS2A1_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.MBCRSEE1_A,range://MA:1/END/01-1993/01-2017,VOL
US.OIL.EIA.MBIRSP31_A,range://MA:1/END/01-1993/01-2017,VOL
US.OIL.EIA.MBNRSP31_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.MCKRS_R2A_1_M,range://M:1/END/01-2005/05-2018,VOL
US.OIL.EIA.MCMRS2B1_A,range://MA:1/END/01-1993/01-2017,VOL
US.OIL.EIA.M_EPL0_SKR_R30_MBBL_M,range://M:1/END/01-2008/05-2018,VOL
US.OIL.EIA.M_EPLLBAI_SKR_NUS_MBBL_A,range://MA:1/END/01-2010/01-2017,VOL
US.OIL.EIA.M_EPLLBAN_SKR_R30_MBBL_A,range://MA:1/END/01-2009/01-2017,VOL
US.OIL.EIA.METRS3A1_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.MFERS3A1_A,range://MA:1/END/01-2002/01-2017,VOL
US.OIL.EIA.MFERSP41_M,range://M:1/END/01-2005/05-2018,VOL
US.OIL.EIA.M_EPLLNG_SKR_R30_MBBL_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.M_EPOBGRR_SKR_R3A_MBBL_A,range://MA:1/END/01-2008/01-2017,VOL
US.OIL.EIA.M_EPOOOXH_SKR_R50_MBBL_M,range://M:1/END/10-2009/06-2010,VOL
US.OIL.EIA.M_EPOORO_SKR_R50_MBBL_A,range://MA:1/END/01-2016/01-2016,VOL
US.OIL.EIA.M_EPOOR_SKR_R3B_MBBL_A,range://MA:1/END/01-2009/01-2017,VOL
US.OIL.EIA.M_EPOOXE_SKR_R3D_MBBL_M,range://M:1/END/01-2009/05-2018,VOL
US.OIL.EIA.MLPRS3A1_A,range://MA:1/END/01-1993/01-2017,VOL
US.OIL.EIA.MMSRSAP1_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.MMSRS_R3D_1_M,range://M:1/END/03-2006/05-2018,VOL
US.OIL.EIA.MNFRS3A1_A,range://MA:1/END/01-1986/01-2017,VOL
US.OIL.EIA.MNFRSP51_A,range://MA:1/END/01-1986/01-2017,VOL
US.OIL.EIA.MNLRS3D1_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.MO1RS_R20_1_A,range://MA:1/END/01-2005/01-2017,VOL
US.OIL.EIA.MO5RS_R3D_1_M,range://M:1/END/01-2005/05-2018,VOL
US.OIL.EIA.MO6RS_R10_1_M,range://M:1/END/02-2008/05-2018,VOL
US.OIL.EIA.MGARS2C1_M,range://M:1/END/01-1993/08-2007,VOL
US.OIL.EIA.MGARSP31_M,range://M:1/END/01-1993/05-2018,VOL
US.OIL.EIA.MO9RS_R2C_1_A,range://MA:1/END/01-2005/01-2017,VOL
US.OIL.EIA.MOHRSP51_M,range://M:1/END/01-1993/05-2018,VOL
