EIA MODEL CODE,GDM MODEL CODE,EIA MODEL DESCRIPTION,GDM MODEL DESCRPTION,OBSERVATION
PET.M_EPL0_SKR_NUS_MBBL.M,US.OIL.EIA.M_EPL0_SKR_NUS_MBBL_M,"U.S. Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",U.S. Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R10_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R10_MBBL_M,"East Coast (PADD 1) Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",East Coast (PADD 1) Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R20_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R20_MBBL_M,"Midwest (PADD 2) Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Midwest (PADD 2) Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R2A_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R2A_MBBL_M,"Refining District Indiana-Illinois-Kentucky Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Refining District Indiana-Illinois-Kentucky Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R2B_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R2B_MBBL_M,"Refining District Minnesota-Wisconsin-North Dakota-South Dakota Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Refining District Minnesota-Wisconsin-North Dakota-South Dakota Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R2C_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R2C_MBBL_M,"Refining District Oklahoma-Kansas-Missouri Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Refining District Oklahoma-Kansas-Missouri Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R30_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R30_MBBL_M,"Gulf Coast (PADD 3) Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Gulf Coast (PADD 3) Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R3A_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R3A_MBBL_M,"Refining District Texas Inland Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Refining District Texas Inland Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R3B_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R3B_MBBL_M,"Refining District Texas Gulf Coast Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Refining District Texas Gulf Coast Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R3C_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R3C_MBBL_M,"Refining District Louisiana Gulf Coast Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Refining District Louisiana Gulf Coast Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R3D_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R3D_MBBL_M,"Refining District North Louisiana-Arkansas Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Refining District North Louisiana-Arkansas Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
PET.M_EPL0_SKR_R3E_MBBL.M,US.OIL.EIA.M_EPL0_SKR_R3E_MBBL_M,"Refining District New Mexico Hydrocarbon Gas Liquids Stocks at Refineries, Monthly",Refining District New Mexico Hydrocarbon Gas Liquids Stocks at Refineries Monthly - Thousand Barrels,True
