EIA MODEL CODE,GDM MODEL CODE,EIA MODEL RANGE,GDM MODEL RANGE,OBSERVATION
PET.MAPRS2A1.M,US.OIL.EIA.MAPRS2A1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRS2B1.M,US.OIL.EIA.MAPRS2B1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRS2C1.M,US.OIL.EIA.MAPRS2C1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRS3A1.M,US.OIL.EIA.MAPRS3A1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRS3B1.M,US.OIL.EIA.MAPRS3B1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRS3C1.M,US.OIL.EIA.MAPRS3C1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRS3D1.M,US.OIL.EIA.MAPRS3D1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRS3E1.M,US.OIL.EIA.MAPRS3E1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRSAP1.M,US.OIL.EIA.MAPRSAP1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRSEE1.M,US.OIL.EIA.MAPRSEE1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRSP11.M,US.OIL.EIA.MAPRSP11_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRSP21.M,US.OIL.EIA.MAPRSP21_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRSP31.M,US.OIL.EIA.MAPRSP31_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRSP41.M,US.OIL.EIA.MAPRSP41_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRSP51.M,US.OIL.EIA.MAPRSP51_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MAPRSUS1.M,US.OIL.EIA.MAPRSUS1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBARS2A1.M,US.OIL.EIA.MBARS2A1_M,01-01-1993 to 01-12-2007,01-01-1993 to 01-12-2007,True
PET.MBARS3A1.M,US.OIL.EIA.MBARS3A1_M,01-01-1997 to 01-05-2018,01-01-1997 to 01-05-2018,True
PET.MBARS3B1.M,US.OIL.EIA.MBARS3B1_M,01-12-1999 to 01-01-2010,01-12-1999 to 01-01-2010,True
PET.MBARS3C1.M,US.OIL.EIA.MBARS3C1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBARSEE1.M,US.OIL.EIA.MBARSEE1_M,01-10-1993 to 01-02-2007,01-10-1993 to 01-02-2007,True
PET.MBARSP11.M,US.OIL.EIA.MBARSP11_M,01-10-1993 to 01-02-2007,01-10-1993 to 01-02-2007,True
PET.MBARSP21.M,US.OIL.EIA.MBARSP21_M,01-01-1993 to 01-09-2012,01-01-1993 to 01-09-2012,True
PET.MBARSP31.M,US.OIL.EIA.MBARSP31_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBARSP51.M,US.OIL.EIA.MBARSP51_M,01-01-1993 to 01-12-2001,01-01-1993 to 01-12-2001,True
PET.MBARSUS1.M,US.OIL.EIA.MBARSUS1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRS2A1.M,US.OIL.EIA.MBCRS2A1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRS2B1.M,US.OIL.EIA.MBCRS2B1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRS2C1.M,US.OIL.EIA.MBCRS2C1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRS3A1.M,US.OIL.EIA.MBCRS3A1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRS3B1.M,US.OIL.EIA.MBCRS3B1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRS3C1.M,US.OIL.EIA.MBCRS3C1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRS3D1.M,US.OIL.EIA.MBCRS3D1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRS3E1.M,US.OIL.EIA.MBCRS3E1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRSAP1.M,US.OIL.EIA.MBCRSAP1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRSEE1.M,US.OIL.EIA.MBCRSEE1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBCRSP11.M,US.OIL.EIA.MBCRSP11_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
